query_id,resume_text,target_role_family,difficulty
1,"Computer science student with experience in Python, pandas, machine learning, forecasting, and statistical analysis. Built academic projects and evaluated model performance on structured data.",data_science,easy
2,"Worked on data science projects involving feature engineering, model evaluation, Python, and SQL. Experience with experiments, feature preparation, and communicating model results.",data_science,easy
3,"Computer science student with experience in Python, pandas, forecasting, nlp, and statistical analysis. Built academic projects and evaluated model performance on structured data.",data_science,easy
4,"Worked on data science projects involving classification, feature engineering, Python, and SQL. Experience with experiments, feature preparation, and communicating model results.",data_science,easy
5,"Applied Python, pandas, regression, and feature engineering in project work. Also created dashboards and presented insights to stakeholders, but most work focused on predictive analysis.",data_science,medium
6,"Experience with model evaluation, predictive modeling, experiments, and model reporting. Built lightweight visualizations for communicating findings to business teams.",data_science,medium
7,"Applied Python, pandas, statistics, and machine learning in project work. Also created dashboards and presented insights to stakeholders, but most work focused on predictive analysis.",data_science,medium
8,"Used Python, SQL, predictive modeling, and classification for model-driven analysis, but also owned reporting summaries and presented performance trends to business teams.",data_science,hard
9,"Worked on nlp, statistics, and predictive projects in Python, while also building dashboards and sharing recommendations with non-technical stakeholders.",data_science,hard
10,"Worked on data science projects involving pandas, statistics, Python, and SQL. Experience with experiments, feature preparation, and communicating model results.",data_science,easy
11,"Computer science student with experience in Python, pandas, machine learning, forecasting, and statistical analysis. Built academic projects and evaluated model performance on structured data.",data_science,easy
12,"Worked on data science projects involving feature engineering, model evaluation, Python, and SQL. Experience with experiments, feature preparation, and communicating model results.",data_science,easy
13,"Computer science student with experience in Python, pandas, forecasting, nlp, and statistical analysis. Built academic projects and evaluated model performance on structured data.",data_science,easy
14,"Experience with classification, feature engineering, experiments, and model reporting. Built lightweight visualizations for communicating findings to business teams.",data_science,medium
15,"Applied Python, pandas, regression, and feature engineering in project work. Also created dashboards and presented insights to stakeholders, but most work focused on predictive analysis.",data_science,medium
16,"Experience with model evaluation, predictive modeling, experiments, and model reporting. Built lightweight visualizations for communicating findings to business teams.",data_science,medium
17,"Worked on statistics, machine learning, and predictive projects in Python, while also building dashboards and sharing recommendations with non-technical stakeholders.",data_science,hard
18,"Used Python, SQL, predictive modeling, and classification for model-driven analysis, but also owned reporting summaries and presented performance trends to business teams.",data_science,hard
19,"Computer science student with experience in Python, pandas, nlp, statistics, and statistical analysis. Built academic projects and evaluated model performance on structured data.",data_science,easy
20,"Worked on data science projects involving pandas, statistics, Python, and SQL. Experience with experiments, feature preparation, and communicating model results.",data_science,easy
21,"Computer science student with experience in Python, pandas, machine learning, forecasting, and statistical analysis. Built academic projects and evaluated model performance on structured data.",data_science,easy
22,"Worked on data science projects involving feature engineering, model evaluation, Python, and SQL. Experience with experiments, feature preparation, and communicating model results.",data_science,easy
23,"Applied Python, pandas, forecasting, and nlp in project work. Also created dashboards and presented insights to stakeholders, but most work focused on predictive analysis.",data_science,medium
24,"Experience with classification, feature engineering, experiments, and model reporting. Built lightweight visualizations for communicating findings to business teams.",data_science,medium
25,"Worked on SQL analysis of product metrics, retention, and business performance. Built dashboards and translated results into recommendations for stakeholders.",analytics,easy
26,"Experience with user behavior, ad hoc analysis, SQL, and dashboarding for product and growth teams. Focused on analysis, experimentation, and business insights.",analytics,easy
27,"Worked on SQL analysis of campaign performance, a/b testing, and business performance. Built dashboards and translated results into recommendations for stakeholders.",analytics,easy
28,"Experience with ad hoc analysis, funnel analysis, SQL, and dashboarding for product and growth teams. Focused on analysis, experimentation, and business insights.",analytics,easy
29,"Used SQL, Python, dashboards, and campaign performance to support product analysis. Also maintained dashboards, but most work involved interpreting behavior and running analysis.",analytics,medium
30,"Built dashboards and tracked KPIs, while focusing mainly on stakeholder recommendations, campaign performance, and ad hoc analysis for business teams.",analytics,medium
31,"Used SQL, Python, a/b testing, and segmentation to support product analysis. Also maintained dashboards, but most work involved interpreting behavior and running analysis.",analytics,medium
32,"Used SQL, dashboards, and stakeholder reporting together with retention and user behavior to support growth and experimentation work.",analytics,hard
33,"Worked with segmentation, dashboards, dashboards, KPI tracking, and recurring reporting, but the main focus was analysis for product and business decisions.",analytics,hard
